name,steam_appid,required_age,controller_support,supported_languages,developers,publishers,platforms,categories,genres,release_date,followers,estimated_wishlists,tags,price,estimated_revenue,currency,owners,average_forever,average_2weeks,median_forever,median_2weeks,concurrent_users,total_positive,total_negative,total_reviews
My devil's voice (MLA),1639300,0,none,"English, Russian","Feo,Nesh",Feo,windows,"Single-player,Family Sharing","Adventure,Casual,Indie","Aug 30, 2022",1671,20052,,19.99,28069,USD,"0 .. 20,000",0,0,0,0,2,56,3,59
春秋,1516820,0,none,Simplified Chinese,weiqian,INDIECN,windows,"Single-player,Family Sharing","Indie,RPG,Simulation,Strategy,Early Access","Jun 2, 2022",4650,55800,"Simulation,Strategy,RPG,RTS,Base Building,Building,Sandbox,Management,Real Time Tactics,City Builder,Grand Strategy,Wargame,Political Sim,3D,Colorful,Third Person,Singleplayer,Early Access,Indie,Historical",17.99,156279,USD,"20,000 .. 50,000",0,0,0,0,2,221,144,365
BoomSheets,2189000,0,none,English,James King,ProtoComplete,windows,undefined,"Animation & Modeling,Utilities,Game Development,Early Access","May 13, 2023",34,408,"Utilities,Early Access,Animation & Modeling,Game Development",49.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
Fix My Cat Doc,2124660,0,none,English,Gamesforgames,Gamesforgames,windows,"Single-player,Partial Controller Support,Remote Play Together,Family Sharing","Adventure,Casual,Indie,Simulation,Sports","Sep 19, 2022",36,432,"Adventure,Casual,Simulation,Sports,Singleplayer,Cats,Medical Sim,Family Friendly,Indie,Job Simulator,Difficult,Character Customization,Choices Matter,Multiple Endings,Resource Management,Story Rich,Tabletop,Tutorial",199.99,61876,USD,"0 .. 20,000",0,0,0,0,0,11,2,13
WARED,1001990,0,none,"Russian, English, German",Rostislavs Lihacs,PocTuK Corporation,windows,"Single-player,Family Sharing","Casual,Indie,Strategy","Jun 19, 2019",98,1176,"Strategy,Indie,Casual,Puzzle,Turn-Based,Tactical,RPG,Roguelite,Turn-Based Strategy,Story Rich,Great Soundtrack,Military,Singleplayer,Turn-Based Combat,Wargame,Replay Value,Isometric,Hand-drawn,Turn-Based Tactics,Fast-Paced",3.99,284,USD,"50,000 .. 100,000",0,0,0,0,0,1,2,3
Unlit,1165460,0,none,"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Clockworks,Clockworks,windows,"Single-player,Family Sharing","Adventure,Casual,Indie,Early Access","Nov 25, 2019",63,756,"Early Access,Adventure,Indie,Casual,Puzzle,Point & Click,Dark,Mystery",11.99,285,USD,"0 .. 20,000",0,0,0,0,0,0,1,1
OUTRIDERS,680420,17,full,"English, French, Italian, German, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Japanese",People Can Fly,Square Enix,windows,"Single-player,Multi-player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Family Sharing","Action,Adventure,RPG","Apr 1, 2021",123485,1481820,,19.99,21589128,USD,"2,000,000 .. 5,000,000",0,0,0,0,209,30104,15274,45378
INFRA,251110,0,full,"English, Russian, German, Spanish - Spain, Japanese, Korean",Loiste Interactive,Loiste Interactive,windows,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Includes level editor,Family Sharing","Adventure,Indie","Jan 15, 2016",12788,153456,"Puzzle,Exploration,Atmospheric,Walking Simulator,Adventure,First-Person,Mystery,Indie,Story Rich,Singleplayer,Great Soundtrack,Horror,Psychological Horror,Open World,Immersive Sim",29.99,2084185,USD,"200,000 .. 500,000",0,0,0,0,14,2588,332,2920
Ballastic,978120,0,none,English,Matthew J. Pilz,linkedPIXEL LLC,"windows,mac,linux","Single-player,Family Sharing","Action,Casual,Indie","Nov 13, 2018",10,120,"Casual,Action,Indie",0.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
The Spook Inspectors,651640,0,none,English,StarvingIndieDeveloper,StarvingIndieDeveloper,windows,"Single-player,Family Sharing","Action,Indie,Strategy,Early Access","Jan 25, 2019",184,2208,"Action,Indie,Early Access,Strategy,Funny,Horror",14.99,3210,USD,"0 .. 20,000",0,0,0,0,0,8,1,9
Deck 'Em!,2162130,0,none,English,Frosty Pop,Frosty Pop,"windows,mac","Single-player,Partial Controller Support,Steam Cloud,Steam Leaderboards,Family Sharing","Casual,Indie,Sports,Strategy","Mar 7, 2023",69,828,"Casual,Solitaire,Strategy,Boxing,Indie,Singleplayer,Sports,Card Game,Colorful,2D,Card Battler,Cartoon,Cartoony,Hand-drawn,1980s,Choices Matter,Combat,Female Protagonist,Turn-Based Combat,Tutorial",2.99,1067,USD,"0 .. 20,000",0,0,0,0,0,13,2,15
Motoride Rollercoaster VR,1346890,0,none,English,Split Light Studio,Split Light Studio,windows,"Single-player,Tracked Controller Support,VR Only,Family Sharing","Adventure,Casual,Indie,Racing,Simulation","Jul 22, 2020",175,2100,"Simulation,Automobile Sim,Singleplayer,Adventure,Casual,Racing,VR,Motorbike,Asymmetric VR,First-Person,Indie,3D,Sports,Driving,RPG,Atmospheric,Sandbox,TrackIR,Management,Moddable",3.99,7786,USD,"0 .. 20,000",0,0,0,0,1,61,21,82
Strayed Lights,2162020,0,full,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Traditional Chinese, Portuguese - Brazil, Ukrainian, Polish, Turkish, Catalan",Embers,Embers,windows,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Adventure,Casual,Indie","Apr 25, 2023",4537,54444,"Singleplayer,Action-Adventure,Casual,Souls-like,Third Person,Cinematic,Dark Fantasy,Atmospheric,Action,Surreal,Colorful,3D,Stylized,Fantasy,Philosophical,Emotional,Story Rich,Psychological,Controller,Adventure",12.99,72962,USD,"0 .. 20,000",0,0,0,0,1,188,48,236
